id_produto,produtos,valor
1,iPhone 16 Pro Max,7999.99
2,iPhone 16 Pro,6999.99
3,iPhone 16,5999.99
4,iPhone 16 Mini,4999.99
5,Samsung Galaxy S25 Ultra,8999.99
6,Samsung Galaxy S25+,8499.99
7,Samsung Galaxy S25,7999.99
8,Samsung Galaxy Buds Pro,1299.99
9,Samsung Wireless Charger,499.99
10,Samsung Galaxy Watch 6,1999.99
11,Apple AirPods Pro 3,1799.99
12,Apple Watch Series 9,3499.99
13,Apple Lightning Cable,149.99
14,Samsung Fast Cable,129.99
15,PowerLine USB-C Cable,99.99
16,Beats Studio Buds,899.99
17,Sony WH Headphones,1599.99
18,JBL Tune Earbuds,749.99
19,Fitbit 4 Smartwatch,1399.99
20,Garmin Forerunner 255,1299.99
21,Apple MagSafe Charger,399.99
22,Samsung Galaxy SmartTag,299.99
23,Apple Lightning Cable,149.99
24,Samsung Galaxy Watch 6,2499.99
25,Anker Wireless Charging Pad,399.99
